gameDuration;firstBlood;firstTower;firstInhibitor;firstBaron;firstDragon;firstRiftHerald;t1_towerKills;t1_inhibitorKills;t1_baronKills;t1_dragonKills;t1_riftHeraldKills;t2_towerKills;t2_inhibitorKills;t2_baronKills;t2_dragonKills;t2_riftHeraldKills;winner
2050;1;1;1;1;2;0;11;4;1;1;0;3;0;0;2;0;1
2131;2;2;2;2;1;0;3;0;0;2;0;9;1;1;1;0;2
2039;2;1;2;2;1;1;3;0;0;2;1;11;3;1;1;0;2
2600;2;2;1;1;1;2;5;2;2;4;0;3;0;0;0;1;1
1761;1;1;1;1;2;0;9;1;1;2;0;0;0;0;2;0;1
1534;1;1;1;0;1;1;10;2;0;3;1;0;0;0;0;0;1
1226;1;2;2;0;2;2;0;0;0;0;0;9;3;0;2;1;2
1873;1;2;2;2;2;0;0;0;0;0;0;11;4;1;3;0;2
1695;1;1;1;2;2;0;10;2;0;1;0;5;0;1;1;0;1
2243;1;1;2;1;1;0;8;1;1;3;0;6;1;0;0;0;1
1604;1;1;1;1;2;1;10;2;1;1;1;0;0;0;2;0;1
1861;2;2;2;2;2;0;3;0;0;1;0;8;1;1;1;0;2
2280;1;1;1;1;1;2;10;3;2;4;0;5;0;0;0;1;1
2372;1;1;2;2;2;1;4;0;0;0;1;10;3;2;4;0;2
1810;2;2;0;1;2;0;3;0;1;1;0;5;0;0;1;0;1
1725;1;2;2;0;2;0;1;0;0;0;0;8;2;0;2;0;2
2615;1;1;2;2;2;0;7;0;0;1;0;7;1;1;2;0;2
1923;2;1;1;1;2;0;11;3;1;2;0;2;0;0;1;0;1
1233;1;1;1;0;1;0;7;1;0;2;0;0;0;0;0;0;1
1771;2;1;1;1;1;0;6;1;1;3;0;3;0;0;0;0;1
1161;1;1;1;0;1;0;7;1;0;1;0;0;0;0;0;0;1
1660;1;1;1;1;1;0;10;1;1;2;0;1;0;0;0;0;1
1760;1;1;2;2;1;1;2;0;0;1;1;8;1;1;2;0;2
1906;1;2;1;1;1;1;11;3;2;4;1;2;0;0;0;0;1
1289;2;2;0;0;2;0;0;0;0;0;0;8;0;0;2;0;2
1522;2;1;1;1;1;0;8;2;1;2;0;1;0;0;0;0;1
3288;2;1;1;1;2;1;7;2;3;2;1;6;2;0;4;0;2
948;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
1500;1;2;2;2;2;1;2;0;0;0;1;9;2;1;2;0;2
1324;2;2;2;0;2;2;1;0;0;0;0;8;2;0;2;1;2
1861;1;1;1;1;1;1;7;1;1;3;1;4;0;0;1;0;1
930;2;1;0;0;2;0;1;0;0;0;0;3;0;0;1;0;2
2845;2;1;1;2;2;0;8;3;0;2;0;8;1;2;2;0;1
2229;2;1;2;2;2;0;4;0;0;1;0;9;1;1;3;0;2
2136;2;1;1;0;2;1;10;1;0;3;1;0;0;0;1;0;1
1330;2;1;1;0;1;0;9;2;0;1;0;0;0;0;0;0;1
1366;1;2;0;0;2;0;0;0;0;0;0;5;0;0;1;0;2
1872;1;1;2;2;2;0;2;0;0;0;0;11;3;2;3;0;2
2310;2;2;1;1;1;1;8;1;1;1;1;6;0;0;3;0;1
1438;1;1;1;1;1;1;11;4;1;1;1;0;0;0;1;0;1
2202;2;1;1;1;1;1;11;4;1;3;1;1;0;0;0;0;1
1351;2;2;0;0;2;0;0;0;0;0;0;5;0;0;2;0;2
1400;2;2;0;0;2;0;2;0;0;0;0;7;0;0;2;0;2
1675;1;2;2;0;1;0;1;0;0;2;0;6;1;0;1;0;2
1379;2;2;1;1;1;0;8;1;1;2;0;1;0;0;0;0;1
2463;1;2;2;1;1;2;5;0;1;2;0;9;1;1;2;1;2
1367;1;1;1;0;1;0;9;1;0;1;0;0;0;0;0;0;1
2114;2;1;1;1;1;0;10;3;1;2;0;3;0;0;1;0;1
2311;1;2;2;2;2;0;2;0;0;0;0;8;1;1;3;0;2
1784;1;1;0;2;1;0;2;0;0;2;0;3;0;1;1;0;2
3072;1;2;2;2;2;0;3;0;0;0;0;11;4;2;5;0;2
935;2;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2
2396;1;1;2;2;2;0;6;0;0;2;0;10;2;2;2;0;2
1146;2;1;1;0;1;0;11;2;0;2;0;0;0;0;0;0;1
2276;1;1;2;0;2;0;5;0;0;1;0;7;1;0;2;0;2
2700;2;2;1;2;2;0;9;4;0;1;0;6;1;1;3;0;1
1672;2;2;2;0;2;0;0;0;0;0;0;10;3;0;2;0;2
1960;2;2;2;0;1;0;0;0;0;1;0;10;3;0;2;0;2
1703;2;2;1;1;1;2;9;2;1;1;0;4;0;0;2;1;1
1631;2;2;2;2;2;2;0;0;0;0;0;9;1;1;3;1;2
2166;1;2;2;2;2;0;3;0;0;0;0;11;4;1;3;0;2
1367;1;1;1;0;1;1;7;1;0;1;1;1;0;0;0;0;1
1781;1;2;2;0;2;2;4;0;0;0;0;9;2;0;4;1;2
2526;2;1;1;1;1;0;8;1;2;2;0;4;0;0;2;0;1
1574;1;2;1;0;1;1;7;1;0;2;1;3;0;0;0;0;1
1315;1;1;0;0;1;0;5;0;0;1;0;1;0;0;0;0;1
2236;2;2;1;2;1;2;10;2;0;4;0;4;0;2;1;1;1
1647;1;1;2;2;1;0;4;0;0;1;0;11;3;1;2;0;2
1400;1;1;1;1;1;1;10;2;1;1;1;0;0;0;0;0;1
1592;1;2;1;0;1;0;9;1;0;2;0;2;0;0;0;0;1
1489;2;1;1;1;1;2;11;4;1;3;0;1;0;0;0;1;1
2286;1;1;1;2;2;1;9;2;0;1;1;8;1;2;3;0;2
1550;1;1;1;1;1;0;9;2;1;1;0;3;0;0;1;0;1
2018;2;2;1;1;2;2;8;1;2;0;0;4;0;0;4;1;1
2378;2;2;2;2;2;2;1;0;0;0;0;10;2;1;5;1;2
911;1;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1
2047;1;2;1;1;2;1;10;2;1;1;1;3;0;0;2;0;1
1955;1;2;2;1;1;2;8;1;1;3;0;9;2;0;1;1;1
1574;2;2;2;2;1;0;0;0;0;1;0;11;3;1;1;0;2
2083;1;1;2;0;2;0;3;0;0;1;0;8;1;0;2;0;2
1748;2;1;1;0;1;0;8;1;0;2;0;1;0;0;0;0;1
1693;2;1;2;2;2;0;1;0;0;0;0;10;2;1;2;0;2
1255;1;1;1;0;1;1;6;1;0;1;1;0;0;0;0;0;1
1842;1;2;2;0;1;2;1;0;0;2;0;8;1;0;2;1;2
1619;2;1;1;0;0;0;7;1;0;0;0;1;0;0;0;0;1
1552;1;2;2;2;2;2;0;0;0;0;0;9;2;1;2;1;2
1359;1;1;1;0;1;0;8;1;0;2;0;0;0;0;0;0;1
1597;2;2;2;0;2;0;0;0;0;0;0;11;4;0;1;0;2
2377;2;2;2;1;2;0;1;0;1;0;0;10;3;0;4;0;2
2121;2;1;2;1;2;0;3;0;1;0;0;10;2;0;4;0;2
3328;1;2;1;2;1;0;7;1;1;3;0;7;0;1;2;0;1
1948;2;1;1;0;1;0;9;2;0;3;0;2;0;0;0;0;1
2560;1;2;1;1;1;0;7;1;1;2;0;3;0;0;1;0;1
1726;1;1;1;1;1;1;9;3;1;3;1;2;0;0;0;0;1
2494;2;2;1;1;2;2;9;2;1;0;0;7;0;1;4;1;1
1932;1;2;2;2;2;1;3;0;0;0;1;10;3;2;3;0;2
2149;2;2;1;1;2;1;10;2;2;1;1;4;0;0;3;0;1
1729;1;2;2;0;2;0;0;0;0;1;0;9;3;0;1;0;2
1873;2;2;2;0;1;0;2;0;0;2;0;9;2;0;1;0;2
2898;1;2;1;0;2;0;10;3;0;1;0;3;0;0;3;0;1
2100;1;1;2;0;1;0;5;0;0;3;0;7;1;0;0;0;2
2048;2;2;2;2;2;1;2;0;0;0;1;7;2;2;4;0;2
1670;2;2;1;1;2;2;8;2;1;1;0;6;1;0;2;1;1
2100;1;1;2;1;2;1;5;0;1;1;1;9;1;0;3;0;2
1755;2;1;1;0;1;1;11;4;0;2;1;1;0;0;0;0;1
1819;2;2;1;2;2;0;9;3;0;2;0;5;0;1;2;0;1
1412;1;1;1;1;1;1;11;3;1;2;1;0;0;0;0;0;1
1579;1;1;1;0;1;2;11;3;0;2;0;0;0;0;0;1;1
1299;2;1;1;0;1;0;8;1;0;2;0;1;0;0;0;0;1
2299;1;1;2;0;1;0;3;0;0;2;0;8;1;0;1;0;2
2075;1;1;1;1;1;1;10;3;1;3;1;3;0;0;0;0;1
1869;1;1;2;0;2;0;2;0;0;0;0;10;3;0;2;0;2
2295;1;1;1;2;1;1;7;1;0;3;1;10;2;1;1;0;2
1135;1;1;1;0;1;0;9;3;0;2;0;0;0;0;0;0;1
3025;2;1;2;1;2;0;7;0;1;4;0;7;2;0;1;0;2
1688;2;2;1;1;2;2;11;2;1;2;0;4;0;0;1;1;1
1230;1;1;0;0;1;1;7;0;0;1;1;2;0;0;1;0;1
2507;2;2;1;2;2;0;7;1;1;3;0;3;0;1;1;0;1
1997;1;2;2;2;2;2;4;0;0;0;0;9;1;1;2;1;2
1876;2;2;2;2;2;2;1;0;0;0;0;10;2;1;3;1;2
2685;1;2;1;1;2;2;5;1;2;0;0;11;3;1;4;1;2
1770;2;2;2;2;2;2;0;0;0;0;0;10;3;1;4;1;2
2675;1;1;1;1;1;2;11;4;1;3;0;6;0;1;1;1;1
2331;1;2;1;1;2;0;9;2;1;0;0;4;0;0;2;0;1
1557;2;2;2;2;2;2;2;0;0;0;0;9;4;1;3;1;2
1353;1;1;1;1;1;1;11;4;1;3;1;0;0;0;0;0;1
2505;2;1;2;1;1;0;4;0;2;2;0;7;1;1;2;0;2
2315;2;2;2;2;2;0;4;0;0;1;0;8;2;1;4;0;2
1413;2;2;2;0;2;2;1;0;0;0;0;6;1;0;1;1;2
1592;1;1;1;0;1;0;5;1;0;1;0;9;2;0;1;0;2
2310;1;1;2;2;2;2;5;0;0;2;0;10;2;2;2;1;2
1637;1;1;1;0;0;0;9;2;0;0;0;1;0;0;0;0;1
1722;2;1;1;1;1;1;11;3;1;3;1;0;0;0;0;0;1
1658;2;2;2;2;2;0;0;0;0;0;0;11;3;1;3;0;2
1488;1;2;2;2;2;2;0;0;0;0;0;7;1;1;3;1;2
1349;1;1;1;0;1;1;9;1;0;1;1;0;0;0;0;0;1
1837;1;1;1;0;1;0;11;3;0;1;0;1;0;0;1;0;1
2077;1;2;2;1;2;1;3;0;1;0;1;7;1;0;4;0;2
2544;1;1;2;1;2;2;7;1;2;3;0;11;4;0;2;1;1
1788;2;1;1;1;1;1;9;1;1;3;1;0;0;0;0;0;1
1768;2;1;2;1;1;1;3;0;1;3;1;8;1;0;0;0;2
1767;1;2;1;1;2;2;7;1;1;1;0;3;0;0;2;1;1
1921;1;2;2;1;1;2;3;0;1;2;0;10;2;1;1;1;2
1474;2;1;1;1;2;0;11;3;1;1;0;0;0;0;1;0;1
1897;2;2;2;2;1;2;1;0;0;1;0;8;1;1;3;1;2
2597;1;1;2;2;1;1;2;0;0;3;1;8;3;1;2;0;2
1702;2;2;1;1;2;1;11;2;1;1;1;4;0;0;2;0;1
2564;1;1;2;1;2;1;5;0;1;0;1;9;2;1;4;0;2
1786;2;2;2;0;2;0;2;0;0;0;0;9;1;0;3;0;2
1531;2;2;2;2;2;2;1;0;0;0;0;9;2;1;3;1;2
1356;1;2;0;0;2;0;1;0;0;0;0;3;0;0;1;0;2
1468;1;2;0;0;2;0;1;0;0;0;0;5;0;0;2;0;2
1504;2;1;1;0;2;1;8;1;0;1;1;3;0;0;1;0;1
2275;2;2;2;1;2;2;5;0;1;0;0;10;5;1;5;1;2
1398;1;2;2;0;2;1;0;0;0;0;1;9;2;0;2;0;2
2228;1;2;0;2;1;2;4;0;0;3;0;5;0;1;1;1;2
2196;2;2;2;2;1;0;3;0;0;1;0;10;2;1;3;0;2
1298;1;1;1;0;0;1;10;2;0;0;1;0;0;0;0;0;1
2114;1;1;2;1;2;1;5;0;1;0;1;7;1;0;4;0;2
1898;2;2;2;0;2;0;0;0;0;0;0;10;2;0;3;0;2
2043;2;1;2;2;1;2;4;0;0;2;0;6;1;1;2;1;2
2000;1;2;2;2;2;2;0;0;0;0;0;11;4;1;4;1;2
1947;2;2;2;2;2;0;2;0;0;0;0;11;5;1;2;0;2
2584;2;1;1;0;1;0;8;1;0;3;0;5;0;0;0;0;1
1515;2;1;1;0;1;1;7;1;0;2;1;1;0;0;0;0;1
1808;1;1;1;1;1;0;10;2;1;2;0;0;0;0;0;0;1
1336;1;1;0;0;1;2;1;0;0;1;0;4;0;0;0;1;2
2139;1;1;1;1;1;1;10;3;2;3;1;3;0;0;1;0;1
1970;1;1;1;1;1;0;8;1;1;4;0;3;0;0;0;0;1
1727;1;1;1;0;1;1;9;2;0;1;1;2;0;0;2;0;1
2874;2;1;2;1;2;0;9;2;1;2;0;8;2;1;3;0;1
1699;1;1;1;1;1;0;10;2;1;3;0;0;0;0;0;0;1
3144;1;2;2;2;2;0;9;1;1;4;0;8;3;2;1;0;2
2409;2;2;2;0;2;0;4;0;0;2;0;10;2;0;2;0;2
1249;2;2;0;0;2;0;0;0;0;0;0;4;0;0;1;0;2
1526;1;1;0;2;2;0;5;0;0;0;0;1;0;1;3;0;2
1859;1;2;2;0;2;0;4;0;0;0;0;7;1;0;1;0;2
2259;1;1;1;1;1;1;7;2;1;4;1;10;2;1;0;0;2
2617;2;2;2;2;2;0;8;2;0;1;0;8;2;1;4;0;1
1850;2;1;1;1;1;2;11;3;1;3;0;0;0;0;0;1;1
1811;1;2;2;1;2;0;4;0;1;2;0;10;3;0;2;0;2
1780;2;1;1;1;1;0;10;1;2;3;0;1;0;0;0;0;1
1801;1;2;2;2;2;2;0;0;0;0;0;9;2;1;3;1;2
1233;2;2;0;0;2;2;1;0;0;0;0;6;0;0;2;1;2
1769;2;2;2;0;1;0;3;0;0;1;0;7;1;0;2;0;2
1773;2;2;2;2;2;2;11;3;0;1;0;4;1;1;1;1;1
1722;1;2;1;0;1;0;11;3;0;2;0;4;0;0;0;0;1
1600;2;1;1;1;2;1;9;2;1;0;1;1;0;0;1;0;1
2122;1;1;1;0;2;2;9;1;0;1;0;2;0;0;3;1;1
1585;2;2;1;1;2;2;9;2;1;1;0;3;0;0;1;1;1
1793;1;1;1;1;1;1;11;3;1;3;1;0;0;0;0;0;1
2237;1;2;2;1;2;0;3;0;1;0;0;9;1;0;3;0;2
1158;1;1;1;0;2;0;7;1;0;0;0;1;0;0;1;0;1
2524;2;1;2;1;1;0;8;0;2;1;0;8;2;0;3;0;2
2196;2;1;2;2;1;2;4;0;0;2;0;11;4;2;2;1;2
2059;1;1;2;2;2;0;3;0;0;1;0;8;1;1;2;0;2
1776;2;1;1;0;2;1;9;1;0;3;1;1;0;0;1;0;1
2174;1;1;1;2;2;2;10;2;0;2;0;3;0;1;2;1;1
2167;2;2;2;2;2;1;9;1;1;1;1;6;1;1;2;0;1
1254;1;1;1;0;1;0;7;1;0;1;0;1;0;0;0;0;1
2012;2;2;1;2;2;1;7;1;0;1;1;10;2;1;1;0;2
2196;1;1;2;1;1;0;8;1;1;1;0;6;1;0;1;0;1
1789;1;2;2;2;1;1;2;0;0;1;1;9;1;1;2;0;2
2065;2;1;1;0;1;0;10;3;0;2;0;4;0;0;0;0;1
1656;1;1;1;0;1;1;10;2;0;3;1;0;0;0;0;0;1
2260;2;2;2;2;1;1;2;0;1;1;1;7;1;1;2;0;1
1800;2;1;2;0;2;0;2;0;0;0;0;8;1;0;2;0;2
1568;1;2;2;0;1;0;2;0;0;1;0;9;2;0;1;0;2
2393;1;1;1;1;1;1;8;1;2;3;1;3;0;0;0;0;1
2023;1;1;1;1;1;1;9;2;1;4;1;2;0;0;0;0;1
1508;2;2;2;2;2;0;1;0;0;0;0;11;2;1;2;0;2
1683;1;2;2;2;2;2;0;0;0;1;0;10;2;1;1;1;2
2120;1;2;1;0;2;0;9;1;0;1;0;3;0;0;2;0;1
1636;2;2;2;2;2;2;1;0;0;0;0;8;2;1;2;1;2
2540;1;1;1;2;1;0;10;3;1;5;0;7;0;1;0;0;1
1475;2;2;1;1;2;2;5;1;1;1;0;6;1;0;2;1;1
3548;1;2;2;2;1;1;8;1;0;3;1;10;3;1;2;0;1
2106;2;1;1;2;1;1;6;1;0;1;1;8;1;1;2;0;2
1874;2;2;1;0;2;2;8;1;0;2;0;3;0;0;2;1;1
2045;2;2;2;2;1;2;2;0;0;2;0;8;1;1;1;1;2
2959;1;1;2;2;1;2;5;0;0;3;0;11;6;3;3;1;2
2661;1;1;1;2;2;0;6;3;0;1;0;10;2;1;3;0;2
1616;2;1;1;0;1;0;10;2;0;2;0;0;0;0;0;0;1
1639;1;1;1;0;1;1;10;1;0;2;1;0;0;0;0;0;1
1441;2;1;1;0;1;1;5;1;0;2;1;1;0;0;0;0;1
1399;1;1;1;0;1;0;11;3;0;2;0;1;0;0;0;0;1
1167;1;2;0;0;0;2;1;0;0;0;0;5;0;0;0;1;2
1461;1;1;1;1;1;0;7;1;1;2;0;0;0;0;0;0;1
1797;2;2;2;2;2;2;0;0;0;0;0;11;4;1;3;1;2
1849;1;2;2;0;2;1;4;0;0;0;1;9;2;0;1;0;2
1446;2;1;0;0;1;0;3;0;0;2;0;3;0;0;0;0;2
2308;2;1;1;1;1;1;11;5;2;4;1;1;0;0;0;0;1
2167;2;1;1;1;1;0;8;1;1;3;0;2;0;0;1;0;1
1065;1;1;1;0;1;0;7;1;0;1;0;0;0;0;0;0;1
2073;2;2;2;0;1;0;4;0;0;1;0;8;1;0;3;0;2
1264;2;2;0;0;2;2;0;0;0;0;0;7;0;0;2;1;2
1516;2;1;1;0;1;1;9;2;0;1;1;1;0;0;1;0;1
1468;2;2;0;0;2;2;0;0;0;0;0;8;0;0;1;1;2
2562;2;1;1;1;1;0;11;2;2;4;0;5;1;0;0;0;1
2014;2;2;2;2;1;1;3;0;0;1;1;7;1;1;1;0;2
1723;1;1;0;0;2;0;5;0;0;1;0;2;0;0;2;0;1
1378;1;1;1;0;2;1;7;1;0;2;1;1;0;0;1;0;1
1007;2;2;0;0;2;2;1;0;0;0;0;4;0;0;1;1;2
1714;1;2;1;1;1;0;10;1;1;3;0;4;0;0;0;0;1
2023;1;1;2;2;2;0;6;0;1;0;0;8;2;1;3;0;2
2058;1;2;1;1;2;2;6;1;1;2;0;9;1;1;1;1;2
2184;2;2;2;2;2;2;3;0;0;2;0;8;1;1;2;1;2
2649;1;1;1;2;2;0;7;1;0;1;0;7;2;1;3;0;2
1277;1;2;0;0;2;0;0;0;0;0;0;5;0;0;1;0;2
1400;1;1;1;0;1;1;7;1;0;2;1;0;0;0;0;0;1
2022;1;2;1;1;2;1;8;1;1;2;1;4;0;0;2;0;1
2241;1;1;1;1;1;2;11;4;1;4;0;4;0;0;0;1;1
1331;2;1;0;0;1;0;5;0;0;2;0;2;0;0;0;0;1
2010;2;1;2;2;1;0;2;0;0;1;0;10;2;1;1;0;2
1809;1;2;2;0;2;2;1;0;0;0;0;11;1;0;3;1;2
1696;1;1;1;1;1;1;10;2;1;3;1;0;0;0;0;0;1
1695;1;1;1;0;1;0;11;3;0;3;0;0;0;0;0;0;1
1801;2;2;2;0;1;0;4;0;0;1;0;9;2;0;2;0;2
1547;2;2;2;0;1;2;1;0;0;1;0;7;2;0;1;1;2
1523;2;2;2;2;1;2;1;0;0;2;0;10;2;1;1;1;2
2528;1;1;1;1;2;0;9;1;1;3;0;1;0;0;1;0;1
2621;1;2;2;2;2;0;5;0;0;1;0;10;4;2;4;0;2
2352;1;1;1;1;1;1;10;2;1;2;1;4;0;0;2;0;1
1752;1;2;2;0;2;1;0;0;0;0;1;9;2;0;2;0;2
1322;2;2;2;0;2;2;0;0;0;0;0;9;2;0;2;1;2
1635;2;2;2;2;2;2;2;0;0;0;0;9;2;1;3;1;2
2082;2;1;2;2;2;0;4;0;0;2;0;10;2;1;1;0;2
2811;1;2;1;1;2;0;10;2;2;0;0;7;1;0;5;0;1
1574;1;1;1;1;1;1;11;3;1;2;1;0;0;0;1;0;1
1507;2;2;2;0;2;0;2;0;0;0;0;11;2;0;2;0;2
1923;2;1;2;0;2;0;4;0;0;0;0;7;1;0;2;0;2
1985;2;1;1;0;1;0;10;2;0;2;0;1;0;0;0;0;1
1662;2;2;2;0;2;0;0;0;0;0;0;11;3;0;2;0;2
1350;2;2;2;0;2;0;2;0;0;0;0;9;1;0;2;0;2
1741;1;1;1;1;1;0;9;3;1;3;0;2;0;0;0;0;1
1712;2;1;2;0;2;1;3;0;0;0;1;8;2;0;2;0;2
1989;2;1;2;2;1;2;2;0;0;1;0;11;4;2;2;1;2
1866;1;2;1;1;2;1;11;3;1;2;1;3;0;0;1;0;1
2321;1;1;2;2;2;0;4;0;0;3;0;11;4;2;1;0;2
1530;1;1;1;0;1;1;9;1;0;2;1;1;0;0;0;0;1
